StoryID,StoryText,StoryNext,StoryResult,StoryInterval,Sprite,AfterInterval,AcvUpdate,Probability,EndingTrigger
3#PM1_1,"봄날의 따뜻한 햇살과 교수님의 수업.$이것만큼 단잠을 부르는 조합이 있을까요?$강의실 뒷편에는 이미 고개를 숙이고 고민에 빠진 학생들이 많습니다.$$“국제 위원회의 대외협력국 측에서는 외교 업무뿐만 아니라 중립 지대의 운영, 재정관리 등을 총괄하고 있습니다. 이 부분은 대외협력국의 설립 취지와…”$$고민에 빠진 학우들과 함께 하고 싶지만, 장학금이 필요한 당신은 눈에 힘을 주며 버틸 수 밖에 없었죠.$그러던 중 당신의 귀에 툭하고 뭔가 떨어지는 소리가 들립니다.$$“저기.. 펜이 그쪽 책상 밑에 들어가서요, 좀 꺼내주실 수 있을까요…?”$$몸을 기울여서 빼야 할 것 같은데 지금 꺼내줘야 할까요?$마침 교수님은 칠판에 무언가를 적고 있습니다.",pm1_13&pm1_14,-,0,null,-,-,12,0
3#PM1_2,"허리를 숙인 당신은 깊숙이 들어간 펜을 꺼내는데 성공합니다.$펜을 돌려받은 학우는 주머니를 뒤지더니 당신에게 뭔가를 건넵니다.$손 위에 올려진 것은… 초코바군요!$좋은 일도 하고 맛있는 것도 얻고, 일석이조네요.",pm1_15,체+1,0,null,-,-,0,0
3#PM1_3,"책상 밑으로 손을 뻗은 당신은 더듬거리며 펜을 찾았지만, 손에 걸리는 건 아무것도 없었습니다.$조금만 더 깊숙이… 손을 뻗으면 책상이 울리는 소리와 함께… 함께?$커다란 소리와 함께 널부러진 당신을 강의실의 모든 사람들이 쳐다봅니다.$머리부터 발 끝까지 화끈거리는 것 같습니다.",pm1_15,정-1,0,null,-,2#+1,0,0
4#PM1_1,"늘 그랬듯, 당신은 강의실에 앉아 강의를 듣고 있습니다.$슬슬 이 수업도 익숙해지는 참이죠.$오늘 강의는 마법, 그리고 마도공학의 성장과 함께 변화된 것들이 주된 내용 같습니다.$$“마도공학이 상용화되면서 도로 교통과 공공시설 정비가 제일 많은 영향을 받았다. 도로와 길거리 가로등같은 부분이 가장 큰 변화 중 하나이고, 최근에는 일부 지역의 전기 보급 문제도 해결을…”",pm1_16,-,0,null,-,-,12,0
4#PM1_2,"교수님의 강의를 들으며 필기를 이어가는데, 옆 사람 다리 진동이 쾅쾅 소리가 날 정도로 거세지기 시작합니다.$옆사람에게 말을 걸려던 찰나, 교수님이 강의를 하다 말고 당신을 지목합니다.$$“그럼, 그쪽에 앉은 학생이 발표해보지.”$$이런… 다리 떠는 사람한테 신경이 쏠려 있어서 강의 내용을 한 귀로 흘렸는데… 어떡할까요?",pm1_17&pm1_18,-,0,null,-,-,0,0
4#PM1_3,"교수님은 당신의 대답을 가만히 듣고있더니, 고개를 끄덕이고는 강의 내용을 이어서 읊습니다.$옆사람의 얼굴을 똑똑히 기억했나요?$가급적이면 다음 강의시간부터는 피해 앉는 것이 좋겠군요…",pm1_19,정+1,0,null,-,4#+1,0,0
4#PM1_4,"교수님은 약간 찌푸린 얼굴과 동시에, 집중하라는 짧은 코멘트와 함께 다시 강의를 이어갑니다.$그럼에도 막연하게 드는 수치심은 어쩔 수가 없습니다.$게다가 문제의 그 사람은 지금까지도 다리를 떨고 있고요.$정말이지 운수 없는 날이네요!$어찌어찌 수업을 잘 듣고 강의실에서 나왔지만, 아까의 민망한 기억 때문에 오늘밤은 어쩐지 이불킥이라도 할 것 같다는 느낌이 듭니다.",pm1_19,정-1,0,null,-,3#+1,0,0
5#PM1_1,"오늘은 중요한 전공 시험이 있는 날입니다.$좀비같은 몰골을 감수하고 열심히 준비한 덕에 대부분의 문제를 풀어낼 수 있었지만, 한 문제가 당신을 망설이게 만듭니다.$$Q.국제 위원회의 대외 협력국에서 하는 주 업무와 알맞지 않은 것은?",pm1_20&pm1_21&pm1_22,-,0,null,-,-,12,0
5#PM1_2,답은 골랐지만 여전히 찝찝함이 남습니다.$시험이 끝나고 친구들과 답을 맞춰보던 당신은 금방 그 원인을 알 수 있었습니다.$이미 지나간 일이지만 썩 기분이 좋진 않네요.,pm1_23,정-1,0,null,-,-,0,0
5#PM1_3,아. 이거 예전에 교수님이 말씀하셨던 내용이군요.$기억해낸 당신은 홀가분하게 답을 적습니다.,pm1_23,지+1,0,null,-,5#+1,0,0
6#PM1_1,"따스한 햇살과 지저귀는 새들 잘잤… 어???$큰 일입니다. 분명 10분만 눈붙일 생각이었는데, 벌써 시험 5분 전이에요.$거기다 다음 시험 장소는 언덕 너머 건물, 5분만에 넘어갈 수 있는 거리가 아닙니다.$밤새 준비한 시험인데 이렇게 시험지에 손도 대지 못한 채 끝낼 순 없습니다.",pm1_24&pm1_25&pm1_26,-,0,null,-,-,12,0
6#PM1_2,숨을 헐떡이며 시계를 보니 1분 지각입니다.$그런데 설마… 교수님이 아직 안 도착하신 걸까요?!$역시 세상만사 밑져봐야 본전입니다.,pm1_27,정+1&체-1,0,null,-,-,0,0
6#PM1_3,"“콰앙!!!”$$굉음과 함께 당신은 1분 만에 강의실에 도착하는 기염을 토했습니다.$벽에 구멍이 나긴 했지만 뭐, 환기도 잘 되고 좋은거죠.$시험도 아는 문제들만 나와 만점이 예상되는군요.$끝나고 경비원에게 한소리 듣긴 했지만, 별로 신경쓰이지 않습니다.",pm1_27,-,0,null,-,-,0,0
6#PM1_4,그래도 뛰면 잘하면 도착할 수 있을 것 같았는데.. 밤새 준비한 과목이었는데…$자다가도 시험 생각에 눈물이 찔끔 납니다.,pm1_27,정-1,0,null,-,-,0,0
7#PM1_1,“으으 교수님도 진짜! 문제를 어렵게 낼 거면 수업 때 설명이라도 쉽게 해달라고요…”$$함께 강의실을 나오던 전 솔이 책에 얼굴을 파묻으며 툴툴거리자 옆에서 아이작이 차갑게 한마디 던집니다.$$“교수들은 그저 정보 전달만 해줄 뿐이다. 익히는건 너의 몫이지.”$$그 말을 들은 전솔은 눈동자가 보이지 않을 정도로 아이작을 노려봅니다.$어떻게든 말리지 않으면 두 사람 다 학교의 인기인이 되겠습니다.$여러 의미로 말이죠.,pm1_28&pm1_29,-,0,null,-,-,12,0
7#PM1_2,술이 들어간 전솔과 아이작은 오히려 학교 주변이 부서져라 다투기 시작했습니다.$아이고… 내일 아침부터 저 둘은 아카데미 슈퍼스타가 되겠네요.,pm1_30,정-1,0,null,-,-,0,0
7#PM1_3,교수님이 다가오시더니 모든 사람들의 상황이 똑같진 않다며 타이릅니다.$각국의 대표다운 아량있는 모습을 보여달라는 훈계에 두 사람은 서로에게 사과를 합니다. $휴..앞으로도 채동희 교수님께 도움을 자주 청해야겠습니다.,pm1_30,정+1,0,null,-,-,0,0
8#PM1_1,"오늘은 기다리고 기다리!... 지는 않았던 시험 날입니다.$어제 밤을 새가면서 벼락치기를 하느라 몸은 만신창이지만, 마음만은 아주 홀가분한 상태입니다.$크게 어려운 부분은 없는 것 같습니다만… 마지막 문제만은 호락호락하지 않습니다.$$Q. 마도공학이 상용화되면서 이가 응용되는 도로교통과 각종 공공설비에 대한 관리의 요구도 구체화되어가고 있다. 이중에서 현재까지 해결되지 못한 문제를 고르시오.",pm1_31&pm1_32&pm1_33,-,0,null,-,-,12,0
8#PM1_2,"어찌어찌 맞는 것 같은 답을 골랐지만, 어쩐지 기분이 썩 좋지는 않습니다.$밑의 문제들을 풀어가면서도 계속 찝찝한 기분이 드는 것은… 기분탓이겠죠?",pm1_34,정-1,0,null,-,-,0,0
8#PM1_3,"중간의 애매한 문제를 결국 어떻게든 답을 써내고 남은 문제들을 이어 풀어갑니다.$뭐, 특별히 난감하거나 어려운 문제들은 다행히도 이번에는 없는 것 같습니다.",pm1_34,지+1,0,null,-,-,0,0
1#PM2_1,"가만, 동아리 가입 마감이 오늘까지였죠.$게시판을 보니 동아리마다 붙여놓은 형형색색의 홍보물들이 눈에 띕니다.$$“아카데미와 중립지대를 이끄는 인재의 길, 경제학회”$“누구보다 빠르게 남들과는 다르게! 승마 동아리와 함께 달리자!”$“약 주고 용돈 받고. 공부와 용돈벌이를 동시에? 제약 동아리에선 가능하다!!”",pm2_1&pm2_2&pm2_3,-,0,null,-,-,14,0
1#PM2_2,"세상에 돈으로 살 수 없는 건 없죠.$있다구요? 돈이 부족한게 아니구요?$이래서 경제 공부를 해야된다는 겁니다.$$“경제학회 좋지. 공부도 하고, 친구도 사귀고. 거기다 예쁘고 성격 좋은 선배도 있으니까”$$어디서 본 것 같은데… 이름이 설원이었나. 학생회장 말이에요.$무척 당황하고 있던 차에 갑자기 한 무리의 학생들이 설원을 둘러쌉니다.$$“선배님! 저 경제학회에 관심 있는데요…!”$“앗, 저도요!”$“저기 선배님…”$$1열을 사수하려는 극성 학생들 때문에 당신은 벽으로 주르륵 밀려나고 맙니다.$이거… 동아리에 자리가 남아있긴 할까요?",pm2_4,-,0,null,-,-,0,0
1#PM2_3,"승마라.. 그거 재밌을 것 같은데…$$“그치? 난 승마 좋아해서 여기로 가입하려고. 너도 같이 하면 더 좋을 것 같아!! 여기 가입하면 우리 랑이랑 더 자주 놀 수 있겠다! 아, 랑이는 어릴 때부터 함께한 내 말이야. 나중에 한 번 소개시켜줄게. 우리 랑이는…”$$전 솔의 TMI 폭격에 정신이 아득해집니다.$그리고 어느새 당신의 손엔 승마 동아리 입부 신청서가 들려 있습니다.$$“진짜 재밌을 것 같아! 그치? 우리 랑이랑 같이 놀면…”$$아. 아직 안 끝났군요.",pm2_4,-,0,null,-,-,0,0
1#PM2_4,"마법약이 용돈벌이에 쏠쏠하다는 사실을 잘 알고 있기에 선택은 어렵지 않았습니다.$다들 당신과 비슷한 생각을 했는지 동아리실이 꽤 북적이는군요.$입부 신청서를 찾고 있는데, 앞에 서있던 사람들이 순식간에 양 옆으로 갈라집니다.$$“...잠시 실례하지.”$$굳은 표정의 아이작이 신청서를 내곤 돌아섭니다.$덜컥. 그가 문을 닫고 나가자 방금까지의 정적은 존재하지도 않았다는 듯 다시 소란스러워집니다.$짧은 등장만으로도 동아리실을 얼음장으로 만들다니…$이런 동기와 함께하는 동아리, 과연 괜찮을까요??",pm2_4,-,0,null,-,-,0,0
2#PM2_1,당신은 민회의 부대표로서 학생회에 참여하게 되었습니다.$$“긴장할 필요 없어. 오늘은 얼굴만 익히는 자리니까.”$$이재희는 당신의 어깨를 살짝 치고는 학생회실로 들어갑니다.$뭐해요? 어서 들어갑시다.,pm2_5&pm2_6,-,0,null,-,-,12,0
2#PM2_2,"“안녕하세..”$$“앗, 오셨네! 안녕하세요! 민회 부대표 맞죠? 전부터 궁금했는데.. 만나서 반가워요! 저는 유오수라고 하는데, 아니다 일단 이것부터 먼저 골라보실래요?”$$문턱을 넘어서자마자 발랄한 음성이 쏟아집니다.$정신을 차릴 새도 없이, 민트색 머리를 한 유오수가 세 가지 맛의 사탕을 당신의 눈 앞에 들이밉니다.",pm2_7&pm2_8&pm2_9,-,0,null,-,-,0,0
2#PM2_3,“딸기… 좋아하시는구나. 맛있긴 한데 너무 흔하지 않아요?”$$아 이게 아니었나 봅니다. 아무래도 정해진 답이 있는 모양이에요.,pm2_10,-,0,null,-,-,0,0
2#PM2_4,“콜라…좋아하시는구나. 맛있긴 한데 색이 좀 칙칙하지 않아요?”$$아 이게 아니었나 봅니다. 아무래도 정해진 답이 있는 모양이에요.,pm2_10,-,0,null,-,-,0,0
2#PM2_5,"“민트 좋아하시는구나! 그쵸! 맛있는데 색도 너무 예뻐! 민트 최고!”$$신나서 당신의 손에 사탕을 꼭 쥐어주는 그녀를 보니, 처음부터 정답이 있는 문제였군요.$아무튼 좋아하는 것 같으니 다행입니다.$사탕을 먹으니 긴장이 조금 풀어지는 것 같기도 하고요.",pm2_11,정+1,0,null,-,1#+1,0,0
2#PM2_6,"깜짝 사탕 퀴즈 이후 학생회장 설 원의 주도로 학생회 임원들의 소개 릴레이가 이어집니다.$유오수는 관료학부 1학년 대표였네요.$기사학부의 전 솔, 마법학부의 아이작 등 아는 얼굴도 있고 모르는 얼굴도 있지만 설 원의 능수능란한 진행 덕에 쉽게 말을 틀 수 있었습니다.$나름 성공적인 데뷔군요.",pm2_12,-,0,null,-,-,0,0
3#PM2_1,"봄날의 따뜻한 햇살과 교수님의 수업.$이것만큼 단잠을 부르는 조합이 있을까요?$강의실 뒷편에는 이미 고개를 숙이고 고민에 빠진 학생들이 많습니다.$$“자, 사진을 보면 쉽게 구분이 가능하지? 도검류이면서 칼자루의 장식적 모양이 특징인 레이피어는 옆의 스파다 다 라토보다 길고 가늘며 날카로워. 아마 실습 때 써보면 느껴지겠지만….”$$고민에 빠진 학우들과 함께 하고 싶지만, 장학금이 필요한 당신은 눈에 힘을 주며 버틸 수 밖에 없었죠.$그러던 중 당신의 귀에 툭하고 뭔가 떨어지는 소리가 들립니다.$$“저기.. 펜이 그쪽 책상 밑에 들어가서요, 좀 꺼내주실 수 있을까요…?”$$몸을 기울여서 빼야 할 것 같은데 지금 꺼내줘야 할까요?$마침 교수님은 칠판에 무언가를 적고 있습니다.",pm2_13&pm2_14,-,0,null,-,-,12,0
3#PM2_2,"허리를 숙인 당신은 깊숙이 들어간 펜을 꺼내는데 성공합니다.$펜을 돌려받은 학우는 주머니를 뒤지더니 당신에게 뭔가를 건넵니다.$손 위에 올려진 것은… 초코바군요!$좋은 일도 하고 맛있는 것도 얻고, 일석이조네요.",pm2_15,체+1,0,null,-,-,0,0
3#PM2_3,"책상 밑으로 손을 뻗은 당신은 더듬거리며 펜을 찾았지만, 손에 걸리는 건 아무것도 없었습니다.$조금만 더 깊숙이… 손을 뻗으면 책상이 울리는 소리와 함께… 함께?$커다란 소리와 함께 널부러진 당신을 강의실의 모든 사람들이 쳐다봅니다.$머리부터 발 끝까지 화끈거리는 것 같습니다.",pm2_15,정-1,0,null,-,2#+1,0,0
4#PM2_1,"늘 그랬듯, 당신은 강의실에 앉아 강의를 듣고 있습니다.$슬슬 이 수업도 익숙해지는 참이죠.$오늘 강의는 마법, 그리고 마도공학의 성장과 함께 변화된 것들이 주된 내용 같습니다.$$“마도공학이 여러 부분에 영향을 끼치면서, 마도구로 검도 주목을 받고있지. 허나 이 검에는 몇몇 단점이 있다. 마법사가 아닌 일반 기사가 처음부터 사용하면 본인의 마나를 다루기 힘들어 오히려 상처를 입거나, 효율이 좋다보니 전쟁에 사용될 우려 등이 있다는 거지…”",pm2_16,-,0,null,-,-,12,0
4#PM2_2,"교수님의 강의를 들으며 필기를 이어가는데, 옆 사람 다리 진동이 쾅쾅 소리가 날 정도로 거세지기 시작합니다.$옆사람에게 말을 걸려던 찰나, 교수님이 강의를 하다 말고 당신을 지목합니다.$$“그럼, 그쪽에 앉은 학생이 발표해보지.”$$이런… 다리 떠는 사람한테 신경이 쏠려 있어서 강의 내용을 한 귀로 흘렸는데… 어떡할까요?",pm2_17&pm2_18,-,0,null,-,-,0,0
4#PM2_3,"교수님은 당신의 대답을 가만히 듣고있더니, 고개를 끄덕이고는 강의 내용을 이어서 읊습니다.$옆사람의 얼굴을 똑똑히 기억했나요?$가급적이면 다음 강의시간부터는 피해 앉는 것이 좋겠군요…",pm2_19,정+1,0,null,-,4#+1,0,0
4#PM2_4,"교수님은 약간 찌푸린 얼굴과 동시에, 집중하라는 짧은 코멘트와 함께 다시 강의를 이어갑니다.$그럼에도 막연하게 드는 수치심은 어쩔 수가 없습니다.$게다가 문제의 그 사람은 지금까지도 다리를 떨고 있고요.$정말이지 운수 없는 날이네요!$어찌어찌 수업을 잘 듣고 강의실에서 나왔지만, 아까의 민망한 기억 때문에 오늘밤은 어쩐지 이불킥이라도 할 것 같다는 느낌이 듭니다.",pm2_19,정-1,0,null,-,3#+1,0,0
5#PM2_1,"오늘은 중요한 전공 시험이 있는 날입니다.$좀비같은 몰골을 감수하고 열심히 준비한 덕에 대부분의 문제를 풀어낼 수 있었지만, 한 문제가 당신을 망설이게 만듭니다.$$Q. 검의 종류 중 도검류에 속해있으면서 칼자루의 장식적 모양을 특징으로 하는 길고 가늘며 날카로운 검은?",pm2_20&pm2_21&pm2_22,-,0,null,-,-,12,0
5#PM2_2,답은 골랐지만 여전히 찝찝함이 남습니다.$시험이 끝나고 친구들과 답을 맞춰보던 당신은 금방 그 원인을 알 수 있었습니다.$이미 지나간 일이지만 썩 기분이 좋진 않네요.,pm2_23,정-1,0,null,-,-,0,0
5#PM2_3,아. 이거 예전에 교수님이 말씀하셨던 내용이군요.$기억해낸 당신은 홀가분하게 답을 적습니다.,pm2_23,무+1,0,null,-,5#+1,0,0
6#PM2_1,"따스한 햇살과 지저귀는 새들 잘잤… 어???$큰 일입니다. 분명 10분만 눈붙일 생각이었는데, 벌써 시험 5분 전이에요.$거기다 다음 시험 장소는 언덕 너머 건물, 5분만에 넘어갈 수 있는 거리가 아닙니다.$밤새 준비한 시험인데 이렇게 시험지에 손도 대지 못한 채 끝낼 순 없습니다.",pm2_24&pm2_25&pm2_26,-,0,null,-,-,12,0
6#PM2_2,숨을 헐떡이며 시계를 보니 1분 지각입니다.$그런데 설마… 교수님이 아직 안 도착하신 걸까요?!$역시 세상만사 밑져봐야 본전입니다.,pm2_27,정+1&체-1,0,null,-,-,0,0
6#PM2_3,"“콰앙!!!”$$굉음과 함께 당신은 1분 만에 강의실에 도착하는 기염을 토했습니다.$벽에 구멍이 나긴 했지만 뭐, 환기도 잘 되고 좋은거죠.$시험도 아는 문제들만 나와 만점이 예상되는군요.$끝나고 경비원에게 한소리 듣긴 했지만, 별로 신경쓰이지 않습니다.",pm2_27,-,0,null,-,-,0,0
6#PM2_4,그래도 뛰면 잘하면 도착할 수 있을 것 같았는데.. 밤새 준비한 과목이었는데…$자다가도 시험 생각에 눈물이 찔끔 납니다.,pm2_27,정-1,0,null,-,-,0,0
7#PM2_1,“으으 교수님도 진짜! 문제를 어렵게 낼 거면 수업 때 설명이라도 쉽게 해달라고요…”$$함께 강의실을 나오던 전 솔이 책에 얼굴을 파묻으며 툴툴거리자 옆에서 아이작이 차갑게 한마디 던집니다.$$“교수들은 그저 정보 전달만 해줄 뿐이다. 익히는건 너의 몫이지.”$$그 말을 들은 전솔은 눈동자가 보이지 않을 정도로 아이작을 노려봅니다.$어떻게든 말리지 않으면 두 사람 다 학교의 인기인이 되겠습니다.$여러 의미로 말이죠.,pm2_28&pm2_29,-,0,null,-,-,12,0
7#PM2_2,술이 들어간 전솔과 아이작은 오히려 학교 주변이 부서져라 다투기 시작했습니다.$아이고… 내일 아침부터 저 둘은 아카데미 슈퍼스타가 되겠네요.,pm2_30,정-1,0,null,-,-,0,0
7#PM2_3,교수님이 다가오시더니 모든 사람들의 상황이 똑같진 않다며 타이릅니다.$각국의 대표다운 아량있는 모습을 보여달라는 훈계에 두 사람은 서로에게 사과를 합니다. $휴..앞으로도 채동희 교수님께 도움을 자주 청해야겠습니다.,pm2_30,정+1,0,null,-,-,0,0
8#PM2_1,"오늘은 기다리고 기다리!... 지는 않았던 시험 날입니다.$어제 밤을 새가면서 벼락치기를 하느라 몸은 만신창이지만, 마음만은 아주 홀가분한 상태입니다.$크게 어려운 부분은 없는 것 같습니다만… 마지막 문제만은 호락호락하지 않습니다.$$Q. 마도구로서의 검의 단점으로 옳지 않은 것은?",pm2_31&pm2_32&pm2_33,-,0,null,-,-,12,0
8#PM2_2,"어찌어찌 맞는 것 같은 답을 골랐지만, 어쩐지 기분이 썩 좋지는 않습니다.$밑의 문제들을 풀어가면서도 계속 찝찝한 기분이 드는 것은… 기분탓이겠죠?",pm2_34,정-1,0,null,-,-,0,0
8#PM2_3,"중간의 애매한 문제를 결국 어떻게든 답을 써내고 남은 문제들을 이어 풀어갑니다.$뭐, 특별히 난감하거나 어려운 문제들은 다행히도 이번에는 없는 것 같습니다.",pm2_34,무+1,0,null,-,-,0,0
1#PM3_1,"가만, 동아리 가입 마감이 오늘까지였죠.$게시판을 보니 동아리마다 붙여놓은 형형색색의 홍보물들이 눈에 띕니다.$$“아카데미와 중립지대를 이끄는 인재의 길, 경제학회”$“누구보다 빠르게 남들과는 다르게! 승마 동아리와 함께 달리자!”$“약 주고 용돈 받고. 공부와 용돈벌이를 동시에? 제약 동아리에선 가능하다!!”",pm3_1&pm3_2&pm3_3,-,0,null,-,-,14,0
1#PM3_2,"세상에 돈으로 살 수 없는 건 없죠.$있다구요? 돈이 부족한게 아니구요?$이래서 경제 공부를 해야된다는 겁니다.$$“경제학회 좋지. 공부도 하고, 친구도 사귀고. 거기다 예쁘고 성격 좋은 선배도 있으니까”$$어디서 본 것 같은데… 이름이 설원이었나. 학생회장 말이에요.$무척 당황하고 있던 차에 갑자기 한 무리의 학생들이 설원을 둘러쌉니다.$$“선배님! 저 경제학회에 관심 있는데요…!”$“앗, 저도요!”$“저기 선배님…”$$1열을 사수하려는 극성 학생들 때문에 당신은 벽으로 주르륵 밀려나고 맙니다.$이거… 동아리에 자리가 남아있긴 할까요?",pm3_4,-,0,null,-,-,0,0
1#PM3_3,"승마라.. 그거 재밌을 것 같은데…$$“그치? 난 승마 좋아해서 여기로 가입하려고. 너도 같이 하면 더 좋을 것 같아!! 여기 가입하면 우리 랑이랑 더 자주 놀 수 있겠다! 아, 랑이는 어릴 때부터 함께한 내 말이야. 나중에 한 번 소개시켜줄게. 우리 랑이는…”$$전 솔의 TMI 폭격에 정신이 아득해집니다.$그리고 어느새 당신의 손엔 승마 동아리 입부 신청서가 들려 있습니다.$$“진짜 재밌을 것 같아! 그치? 우리 랑이랑 같이 놀면…”$$아. 아직 안 끝났군요.",pm3_4,-,0,null,-,-,0,0
1#PM3_4,"마법약이 용돈벌이에 쏠쏠하다는 사실을 잘 알고 있기에 선택은 어렵지 않았습니다.$다들 당신과 비슷한 생각을 했는지 동아리실이 꽤 북적이는군요.$입부 신청서를 찾고 있는데, 앞에 서있던 사람들이 순식간에 양 옆으로 갈라집니다.$$“...잠시 실례하지.”$$굳은 표정의 아이작이 신청서를 내곤 돌아섭니다.$덜컥. 그가 문을 닫고 나가자 방금까지의 정적은 존재하지도 않았다는 듯 다시 소란스러워집니다.$짧은 등장만으로도 동아리실을 얼음장으로 만들다니…$이런 동기와 함께하는 동아리, 과연 괜찮을까요??",pm3_4,-,0,null,-,-,0,0
2#PM3_1,당신은 민회의 부대표로서 학생회에 참여하게 되었습니다.$$“긴장할 필요 없어. 오늘은 얼굴만 익히는 자리니까.”$$이재희는 당신의 어깨를 살짝 치고는 학생회실로 들어갑니다.$뭐해요? 어서 들어갑시다.,pm3_5&pm3_6,-,0,null,-,-,12,0
2#PM3_2,"“안녕하세..”$$“앗, 오셨네! 안녕하세요! 민회 부대표 맞죠? 전부터 궁금했는데.. 만나서 반가워요! 저는 유오수라고 하는데, 아니다 일단 이것부터 먼저 골라보실래요?”$$문턱을 넘어서자마자 발랄한 음성이 쏟아집니다.$정신을 차릴 새도 없이, 민트색 머리를 한 유오수가 세 가지 맛의 사탕을 당신의 눈 앞에 들이밉니다.",pm3_7&pm3_8&pm3_9,-,0,null,-,-,0,0
2#PM3_3,“딸기… 좋아하시는구나. 맛있긴 한데 너무 흔하지 않아요?”$$아 이게 아니었나 봅니다. 아무래도 정해진 답이 있는 모양이에요.,pm3_10,-,0,null,-,-,0,0
